File Name,Type,PSNR,SSIM
MagicianLoad_011,B/W,13.2672,0.8541
MagicianLoad_030,B/W,13.1646,0.8606
MagicianLoad_063,B/W,14.7355,0.8820
MagicianLoad_087_color_B,B/W,20.0922,0.9401
MagicianLoad_036,B/W,17.7480,0.9286
MagicianLoad_018,B/W,13.9405,0.8712
MagicianLoad_043,B/W,16.3105,0.9146
MagicianLoad_040,B/W,13.8393,0.8749
MagicianLoad_004,B/W,14.3312,0.9002
MagicianLoad_000_color_G,B/W,20.1427,0.9047
MagicianLoad_076,B/W,18.2334,0.9172
MagicianLoad_012,B/W,25.2483,0.9862
MagicianLoad_022,B/W,13.3494,0.8638
MagicianLoad_074,B/W,16.2126,0.9170
MagicianLoad_035,B/W,16.0048,0.8988
MagicianLoad_026,B/W,13.2400,0.8658
MagicianLoad_017,B/W,13.3075,0.8842
MagicianLoad_031,B/W,12.8905,0.8601
MagicianLoad_044,B/W,13.3721,0.8679
MagicianLoad_067,B/W,14.1332,0.8739
MagicianLoad_066,B/W,13.2283,0.8713
MagicianLoad_057,B/W,16.2190,0.8905
MagicianLoad_051,B/W,14.2652,0.8731
MagicianLoad_032,B/W,14.3107,0.8741
MagicianLoad_042,B/W,13.5096,0.8810
MagicianLoad_000_color_R,B/W,20.1795,0.8949
MagicianLoad_015,B/W,14.1275,0.8798
MagicianLoad_064,B/W,15.6976,0.8913
MagicianLoad_069,B/W,15.2251,0.8889
MagicianLoad_052,B/W,13.2532,0.8642
MagicianLoad_008,B/W,14.1941,0.8850
MagicianLoad_049,B/W,15.2257,0.9034
MagicianLoad_019,B/W,13.3570,0.8611
MagicianLoad_007,B/W,14.4069,0.8699
MagicianLoad_047,B/W,14.4968,0.8784
MagicianLoad_085,B/W,12.7974,0.8645
MagicianLoad_028,B/W,13.0204,0.8653
MagicianLoad_000_color_B,B/W,20.6455,0.8897
MagicianLoad_087_color_R,B/W,20.1223,0.9396
PrismHeart_027,B/W,16.4469,0.8755
PrismHeart_033,B/W,16.9270,0.8688
PrismHeart_078,B/W,15.3771,0.8904
PrismHeart_056,B/W,18.1626,0.8955
PrismHeart_086,B/W,15.8846,0.8822
PrismHeart_053,B/W,16.6261,0.8865
PrismHeart_010,B/W,17.3078,0.8887
PrismHeart_080,B/W,15.7380,0.8887
PrismHeart_083,B/W,16.9114,0.8808
